English,Spanish
the,el
of,de
and,y
to,Para
in,en
for,para
is,es
on,en
that,ese
by,por
this,éste
with,con
you,tú
it,eso
not,no
or,o
be,ser
are,son
from,De
at,en
as,como
your,usted
all,todo
have,have
new,Nuevo
more,más
an,un
was,era
we,Nosotros
will,será
home,hogar
can,enlatar
us,nos
about,acerca de
if,si
page,página
my,mi
has,tiene
search,buscar
free,Gratis
but,pero
our,nuestro
one,Uno
other,Otro
do,hacer
no,No
information,información
time,Hora
they,Ellos
site,sitio
he,él
up,hacia arriba
may,Mayo
what,Qué
which,cuál
their,su
news,noticia
out,fuera
use,uso
any,cualquier
there,allí
see,ver
only,solamente
so,así que
his,suyos
when,cuando
contact,contacto
here,aquí
business,negocio
who,Quién
web,telaraña
also,Además
now,Ahora
help,Ayuda
get,Obtener
pm,PM
view,vista
online,en línea
first,Primero
am,AM
been,sido
would,Sería
how,cómo
were,Fueron
me,me
services,servicios
some,alguno
these,estos
click,clic
its,su
like,gustar
service,servicio
than,que
find,encontrar
price,precio
date,fecha
back,Atrás
top,Arriba
people,gente
had,Tenía
list,lista
name,nombre
just,justo
over,sobre
state,estado
year,año
day,día
into,en
email,Correo electrónico
two,Dos
health,Salud
world,mundo
re,re
next,próximo
used,usado
go,ir
work,trabajo
last,último
products,productos
music,música
buy,comprar
data,datos
make,hacer
them,ellos
should,deber
product,producto
system,sistema
post,Exponer
her,su
city,ciudad
add,agregar
policy,política
number,número
such,tal
please,Por favor
available,disponible
copyright,derechos de autor
support,apoyo
message,Mensaje
after,después
best,mejor
software,software
then,entonces
jan,ene
good,bien
video,vídeo
well,pozo
where,Dónde
info,información
rights,derechos
public,público
books,libros
high,Alto
school,escuela
through,a través de
each,cada
links,Enlaces
she,ella
review,revisión
years,años
order,orden
very,muy
privacy,privacidad
book,libro
items,Artículos
company,compañía
read,leer
group,grupo
sex,sexo
need,necesitar
many,mucho
user,usuario
said,dicho
de,de
does,hace
set,poner
under,debajo
general,General
research,investigación
university,universidad
january,Enero
mail,correo
full,lleno
map,mapa
reviews,Comentarios
program,programa
life,vida
know,Saber
games,juegos
way,sentido
days,Días
management,Administración
part,parte
could,Podría
great,Bien
united,unido
hotel,hotel
real,real
item,artículo
international,internacional
center,centro
ebay,eBay
must,mosto
store,tienda
travel,viajar
comments,Comentarios
made,hecho
development,desarrollo
report,informe
off,apagado
member,miembro
details,Detalles
line,línea
terms,letra chica
before,antes
hotels,Hoteles
did,hizo
send,Enviar
right,Derecha
type,tipo
because,porque
local,local
those,aquellos
using,Usando
results,Resultados
office,oficina
education,educación
national,nacional
car,coche
design,diseño
take,tomar
posted,Publicada
internet,Internet
address,dirección
community,comunidad
within,dentro
states,Estados
area,área
want,querer
phone,Teléfono
dvd,DVD
shipping,naviero
reserved,reservado
subject,Asunto
between,entre
forum,foro
family,familia
long,largo
based,basado
code,código
show,mostrar
even,aun
black,negro
